Data,À vista R$,À vista US$
2002-11-29,0.6842,0.1899
2002-12-06,0.6897,0.1858
2002-12-13,0.6926,0.1834
2002-12-20,0.7065,0.1999
2002-12-27,0.6941,0.1961
2003-01-03,0.7281,0.2075
2003-01-10,0.7927,0.239
2003-01-17,0.8195,0.2471
2003-01-24,0.861,0.2452
2003-01-31,0.8577,0.239
2003-02-07,0.884,0.2479
2003-02-14,0.8621,0.2382
2003-02-21,0.8696,0.2407
2003-02-28,0.872,0.2435
2003-03-07,0.8959,0.2547
2003-03-14,0.8966,0.2588
2003-03-21,0.8623,0.25
2003-03-28,0.8419,0.249
2003-04-04,0.8377,0.2553
2003-04-11,0.8374,0.262
2003-04-17,0.841,0.272
2003-04-25,0.8495,0.2817
2003-05-02,0.8241,0.2805
2003-05-09,0.7958,0.2688
2003-05-16,0.7801,0.2679
2003-05-23,0.6918,0.2315
2003-05-30,0.631,0.2107
2003-06-06,0.6078,0.2084
2003-06-13,0.5839,0.2043
2003-06-20,0.5532,0.1921
2003-06-27,0.5183,0.1803
2003-07-04,0.4639,0.1638
2003-07-11,0.4636,0.1607
2003-07-18,0.4673,0.1631
2003-07-25,0.5322,0.1843
2003-08-01,0.5849,0.1976
2003-08-08,0.5935,0.1963
2003-08-15,0.6105,0.2026
2003-08-22,0.6113,0.2041
2003-08-29,0.6158,0.2069
2003-09-05,0.6127,0.2073
2003-09-12,0.6003,0.2059
2003-09-19,0.5543,0.191
2003-09-26,0.5329,0.1822
2003-10-03,0.4857,0.1674
2003-10-10,0.5228,0.1836
2003-10-17,0.5567,0.1957
2003-10-24,0.5592,0.1951
2003-10-31,0.5149,0.1801
2003-11-07,0.5299,0.185
2003-11-14,0.5633,0.1931
2003-11-21,0.5634,0.1918
2003-11-28,0.5764,0.1961
2003-12-05,0.6037,0.2058
2003-12-12,0.6142,0.209
2003-12-19,0.617,0.2106
2003-12-26,0.6068,0.2085
2004-01-02,0.6071,0.2107
2004-01-09,0.5903,0.2069
2004-01-16,0.5588,0.1988
2004-01-23,0.5092,0.1793
2004-01-30,0.525,0.1814
2004-02-06,0.4838,0.1652
2004-02-13,0.3715,0.1276
2004-02-20,0.3186,0.1085
2004-02-27,0.3606,0.1232
