Data,À vista R$,À vista US$
2003-12-08,2.17,0.74
2003-12-09,2.21,0.75
2003-12-10,2.21,0.75
2003-12-11,2.2,0.75
2003-12-12,2.19,0.75
2003-12-15,2.19,0.75
2003-12-16,2.19,0.75
2003-12-17,2.17,0.74
2003-12-18,2.17,0.74
2003-12-19,2.19,0.75
2003-12-22,2.19,0.75
2003-12-23,2.21,0.76
2003-12-26,2.21,0.76
2003-12-29,2.19,0.77
2003-12-30,2.14,0.74
2004-01-02,2.14,0.74
2004-01-05,2.14,0.75
2004-01-06,2.14,0.75
2004-01-07,2.11,0.74
2004-01-08,2.11,0.74
2004-01-09,2.11,0.74
2004-01-12,2.11,0.76
2004-01-13,2.0,0.71
2004-01-14,1.94,0.69
2004-01-15,1.94,0.69
2004-01-16,1.94,0.69
2004-01-19,1.91,0.67
2004-01-20,1.9,0.67
2004-01-21,1.9,0.67
2004-01-22,1.87,0.66
2004-01-23,1.87,0.66
2004-01-26,1.88,0.66
2004-01-27,1.89,0.66
2004-01-28,1.88,0.65
2004-01-29,1.88,0.64
2004-01-30,1.85,0.63
2004-02-02,1.85,0.63
2004-02-03,1.84,0.63
2004-02-04,1.84,0.63
2004-02-05,1.87,0.64
2004-02-06,1.87,0.64
2004-02-09,1.91,0.65
2004-02-10,1.91,0.65
2004-02-11,1.94,0.67
2004-02-12,1.93,0.67
2004-02-13,1.93,0.66
2004-02-16,1.95,0.67
2004-02-17,1.95,0.67
2004-02-18,1.95,0.66
2004-02-19,1.99,0.67
2004-02-20,1.99,0.67
2004-02-25,1.99,0.68
2004-02-26,1.98,0.67
2004-02-27,1.96,0.67
2004-03-01,1.96,0.68
2004-03-02,1.97,0.68
2004-03-03,1.97,0.68
2004-03-04,1.94,0.67
2004-03-05,1.92,0.67
2004-03-08,1.92,0.67
2004-03-09,1.92,0.67
2004-03-10,1.93,0.67
2004-03-11,1.95,0.67
2004-03-12,1.93,0.67
2004-03-15,1.92,0.66
2004-03-16,1.91,0.66
2004-03-17,1.89,0.65
2004-03-18,1.88,0.65
2004-03-19,1.86,0.64
2004-03-22,1.82,0.62
2004-03-23,1.81,0.62
2004-03-24,1.79,0.61
2004-03-25,1.78,0.61
2004-03-26,1.78,0.61
2004-03-29,1.78,0.61
2004-03-30,1.77,0.61
2004-03-31,1.75,0.6
2004-04-01,1.75,0.61
